WARN  | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 02-07-2019 | 22:27:11 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:30:14 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:42:04 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:44:49 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:45:26 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:47:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:53:42 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:54:01 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:56:37 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:57:16 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:58:52 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:59:57 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:03:23 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:07:20 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:07:47 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:08:19 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:11:27 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 23:11:27 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:11:27 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 23:11:27 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:13:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 23:13:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 23:13:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:13:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 23:13:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:14:10 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:15:14 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 23:15:14 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 23:15:14 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:15:35 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:15:43 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 23:15:43 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:15:43 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 23:15:43 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 23:16:25 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 23:16:25 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 23:16:25 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 03-07-2019 | 16:08:08 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 03-07-2019 | 18:58:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurs while inserting data! Please check insert parameters'  
ERROR | 03-07-2019 | 18:58:29 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 03-07-2019 | 18:58:44 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurs while inserting data! Please check insert parameters'  
ERROR | 04-07-2019 | 00:24:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:24:03 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:26:00 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:26:00 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:32:54 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:32:54 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:41:15 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate primary key'  
ERROR | 04-07-2019 | 00:43:56 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:44:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:44:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 04-07-2019 | 00:44:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 04-07-2019 | 00:44:06 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 04-07-2019 | 00:46:58 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate primary key'  
ERROR | 04-07-2019 | 00:47:26 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
ERROR | 04-07-2019 | 00:50:32 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'An error occurred while updating row'  
